"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-10.wbbasket.ru/vol1559/part155931/155931158/images/c246x328/1.webp";"Увлажняющий кремовый тонер с молочной текстурой, 150 мл";155931158;"Lifecosm";21318603;"5984169,26";11004;1805;47;"3,77";4661;53;2172;2128;"4,9";"3,87";1504;618;460
"https://basket-17.wbbasket.ru/vol2637/part263737/263737685/images/c246x328/1.webp";"Крем-Бустер с микроиглами и ретинолом Vita-A RetinAl Shot";263737685;"Lifecosm";18896662;"82533950,21";7553;0;0;"0";4580;42;2643;2590;"4,9";"3,73";2133;106;400
"https://basket-17.wbbasket.ru/vol2637/part263736/263736957/images/c246x328/1.webp";"Лифтинг-сыворотка для лица с микроиглами и ретинолом, 30 мл";263736957;"Lifecosm";15223202;"93727165,25";6135;760;6;"0";4727;41;2785;2729;"4,8";"4,33";2311;108;180
"https://basket-10.wbbasket.ru/vol1559/part155949/155949395/images/c246x328/1.webp";"Сыворотка с экстрактом нони, 30 мл";155949395;"Lifecosm";14862369;"3041144,81";9022;2868;96;"53,28";5670;68;1804;1767;"4,8";"3,8";2310;618;800
"https://basket-10.wbbasket.ru/vol1559/part155937/155937262/images/c246x328/1.webp";"Крем для восстановления барьера, 50ml";155937262;"Lifecosm";11959769;"12427469,46";6555;1178;32;"0";6569;66;2187;2143;"4,9";"4,07";2133;618;370
"https://basket-10.wbbasket.ru/vol1559/part155923/155923673/images/c246x328/1.webp";"Восстанавливающий крем для лица с экстрактом нони, 50 мл";155923673;"Lifecosm";10317178;"3084138,62";6191;1457;66;"31,98";4288;57;1808;1771;"4,9";"4,4";2133;618;510
"https://basket-10.wbbasket.ru/vol1559/part155920/155920960/images/c246x328/1.webp";"Увлажняющий набор уходовых средств для лица";155920960;"Lifecosm";8716712;"7433541,2";5961;1222;40;"0";3808;58;1578;1546;"4,9";"4,47";896;618;210
"https://basket-10.wbbasket.ru/vol1519/part151988/151988984/images/c246x328/1.webp";"Celimax Сыворотка с экстрактом нони The Real Noni 30 мл";151988984;"ООО Сдэк Южный Урал";6512138;"1057703,94";4287;614;45;"0";8595;80;1653;1619;"4,8";"3,93";1331;675;750
"https://basket-13.wbbasket.ru/vol2025/part202549/202549744/images/c246x328/1.webp";"Корейское гидрофильное масло для лица";202549744;"Lifecosm";6258884;"1231255,87";6216;2241;110;"59,08";7053;85;991;971;"4,7";"3,67";693;359;450
"https://basket-12.wbbasket.ru/vol1908/part190810/190810743/images/c246x328/1.webp";"Celimax Набор миниатюр с нони The Real Noni Starter Kit";190810743;"ИП Абрамова О П";5987947;"3682852,36";4557;337;17;"0";1790;26;1324;1297;"4,8";"4,59";472;430;0
"https://basket-15.wbbasket.ru/vol2381/part238152/238152155/images/c246x328/1.webp";"Барьерный крем с комплексом церамидов";238152155;"MD Shop";5648133;"5617268,89";4176;0;0;"0";2500;40;1494;1464;"4,9";"4,47";523;217;0
"https://basket-16.wbbasket.ru/vol2552/part255203/255203333/images/c246x328/1.webp";"Набор уходовых средств для лица для защиты барьера";255203333;"Lifecosm";5337812;"12057736,04";4254;1265;33;"0";5491;75;1340;1313;"4,9";"3,93";896;151;230
"https://basket-15.wbbasket.ru/vol2400/part240014/240014011/images/c246x328/1.webp";"Осветляющие тонер пэды для лица, 40 шт";240014011;"Lifecosm";5282254;"13619929,43";3213;0;0;"0";3344;51;1633;1600;"4,9";"4,33";1504;151;325
"https://basket-10.wbbasket.ru/vol1559/part155939/155939082/images/c246x328/1.webp";"Увлажняющий тонер с эктрактом нони, 150 мл";155939082;"Lifecosm";5021924;"1409662,88";3118;274;25;"0";4452;63;1647;1614;"4,9";"4,53";1504;618;0
"https://basket-10.wbbasket.ru/vol1559/part155915/155915202/images/c246x328/1.webp";"Восстанавливающий крем для кожи вокруг глаз, 20 мл";155915202;"Lifecosm";4907582;"504102,08";3189;694;72;"37,46";4264;59;1735;1700;"4,9";"4,07";2133;618;550
"https://basket-15.wbbasket.ru/vol2235/part223586/223586129/images/c246x328/1.webp";"Celimax Тонер для лица Dual Barrier Creamy Toner 150мл Корея";223586129;"ООО Сдэк Южный Урал";4797227;"2529082,02";2836;71;6;"0";9870;79;1989;1949;"4,9";"4,93";901;286;0
