"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-17.wbbasket.ru/vol2637/part263737/263737685/images/c246x328/1.webp";"Крем-Бустер с микроиглами и ретинолом Vita-A RetinAl Shot";263737685;"Lifecosm";4201975;"450211,61";1830;1203;18;"0";4547;41;2658;2604;"4,9";"4,59";2183;77;400
"https://basket-17.wbbasket.ru/vol2637/part263736/263736957/images/c246x328/1.webp";"Лифтинг-сыворотка для лица с микроиглами и ретинолом, 30 мл";263736957;"Lifecosm";3874488;"1844994,29";1546;1719;23;"0";4824;47;2534;2483;"4,8";"4,73";2331;79;190
"https://basket-10.wbbasket.ru/vol1559/part155937/155937262/images/c246x328/1.webp";"Крем для восстановления барьера, 50ml";155937262;"Lifecosm";3784342;"260989,1";2202;554;7;"0";6659;69;2020;1979;"4,9";"4,59";2183;589;150
"https://basket-10.wbbasket.ru/vol1559/part155931/155931158/images/c246x328/1.webp";"Увлажняющий кремовый тонер с молочной текстурой, 150 мл";155931158;"Lifecosm";3772304;"0";1978;1588;25;"0";4666;53;2175;2131;"4,9";"4,8";1707;589;660
"https://basket-10.wbbasket.ru/vol1559/part155949/155949395/images/c246x328/1.webp";"Сыворотка с экстрактом нони, 30 мл";155949395;"Lifecosm";3335855;"357413,04";2204;1674;21;"0";5648;68;1755;1719;"4,8";"4,2";2331;589;680
"https://basket-10.wbbasket.ru/vol1559/part155923/155923673/images/c246x328/1.webp";"Восстанавливающий крем для лица с экстрактом нони, 50 мл";155923673;"Lifecosm";2600254;"278598,64";1684;1378;23;"0";4300;60;1718;1683;"4,9";"5";2183;589;477
"https://basket-10.wbbasket.ru/vol1559/part155920/155920960/images/c246x328/1.webp";"Увлажняющий набор уходовых средств для лица";155920960;"Lifecosm";1712789;"183513,11";1085;1250;32;"0";3848;51;1850;1813;"4,9";"4,73";651;589;210
"https://basket-15.wbbasket.ru/vol2381/part238152/238152155/images/c246x328/1.webp";"Барьерный крем с комплексом церамидов";238152155;"MD Shop";1607040;"0";1162;827;22;"0";2500;45;1369;1341;"4,8";"4,73";370;188;249
"https://basket-16.wbbasket.ru/vol2410/part241098/241098132/images/c246x328/1.webp";"Барьерный кремовый тонер Dual Barrier Creamy Toner";241098132;"ИП Женишбекова А Ж";1334403;"545892,14";973;24;1;"0";2575;44;1429;1400;"4,9";"4,87";234;169;0
"https://basket-15.wbbasket.ru/vol2399/part239985/239985946/images/c246x328/1.webp";"Сыворотка для лица осветляющая, 30 мл";239985946;"Lifecosm";1246486;"0";872;639;23;"0";4652;63;1686;1652;"4,8";"4,13";2331;189;621
