"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-17.wbbasket.ru/vol2725/part272564/272564273/images/c246x328/1.webp";"Сыворотка с экстрактом нони, 50 мл";272564273;"Lifecosm";3421346;"0";1787;171;3;"0";8094;76;1869;1869;"4,8";"2,87";1860;35;520
"https://basket-10.wbbasket.ru/vol1559/part155931/155931158/images/c246x328/1.webp";"Увлажняющий кремовый тонер с молочной текстурой, 150 мл";155931158;"Lifecosm";2939682;"0";1585;549;10;"0";4688;61;1804;1804;"4,9";"4,2";1429;558;170
"https://basket-10.wbbasket.ru/vol1559/part155920/155920960/images/c246x328/1.webp";"Увлажняющий набор уходовых средств для лица";155920960;"Lifecosm";2366374;"0";1799;164;3;"0";3920;68;1234;1234;"4,9";"4,67";443;558;280
"https://basket-10.wbbasket.ru/vol1559/part155937/155937262/images/c246x328/1.webp";"Крем для восстановления барьера, 50ml";155937262;"Lifecosm";1933447;"483361,75";1121;0;0;"0";6720;74;1693;1693;"4,9";"4,2";2452;558;0
"https://basket-17.wbbasket.ru/vol2637/part263736/263736957/images/c246x328/1.webp";"Лифтинг-сыворотка для лица с микроиглами и ретинолом, 30 мл";263736957;"Lifecosm";1778079;"3556158";785;0;0;"0";4795;54;2181;2181;"4,8";"4,93";1860;48;150
"https://basket-17.wbbasket.ru/vol2627/part262788/262788242/images/c246x328/1.webp";"Сыворотка с ретинолом и микроиглами";262788242;"ТОО Компания ЛВВ";1349636;"899757,33";662;97;3;"0";3200;39;1926;1926;"4,8";"4";87;71;0
"https://basket-13.wbbasket.ru/vol2025/part202549/202549744/images/c246x328/1.webp";"Корейское гидрофильное масло для лица";202549744;"Lifecosm";1335308;"148367,56";1471;0;0;"0";7017;87;884;884;"4,8";"4,26";458;299;0
"https://basket-13.wbbasket.ru/vol2019/part201965/201965793/images/c246x328/1.webp";"Тонер для лица кремовый барьерный с церамидами";201965793;"ООО КО Экспо";1110966;"38309,17";709;26;1;"0";5544;69;1707;1707;"4,9";"4,53";146;268;204
"https://basket-16.wbbasket.ru/vol2410/part241098/241098132/images/c246x328/1.webp";"Барьерный кремовый тонер Dual Barrier Creamy Toner";241098132;"ИП Женишбекова А Ж";1104087;"736058";849;104;2;"0";2494;47;1309;1309;"4,9";"4,8";124;138;232
"https://basket-15.wbbasket.ru/vol2381/part238152/238152155/images/c246x328/1.webp";"Барьерный крем с комплексом церамидов";238152155;"MD Shop";1046541;"261635,25";816;0;0;"0";2500;47;1312;1312;"4,8";"4,73";252;157;0
"https://basket-12.wbbasket.ru/vol1768/part176892/176892111/images/c246x328/1.webp";"Увлажняющий барьерный кремовый тонер для лица";176892111;"Риска";1040812;"-0";746;241;10;"0";2200;30;1540;1540;"4,9";"4,87";548;444;0
"https://basket-17.wbbasket.ru/vol2637/part263737/263737685/images/c246x328/1.webp";"Крем-Бустер с микроиглами и ретинолом Vita-A RetinAl Shot";263737685;"Lifecosm";1002406;"2338947,33";491;0;0;"0";4604;56;1998;1998;"4,9";"4,26";2452;46;150
"https://basket-15.wbbasket.ru/vol2365/part236553/236553819/images/c246x328/1.webp";"Сыворотка для лица с экстрактом нони";236553819;"MD Shop";997035;"0";748;168;7;"0";2400;46;1293;1293;"4,8";"4,67";287;165;289
"https://basket-16.wbbasket.ru/vol2553/part255368/255368186/images/c246x328/1.webp";"Celimax тонер для сухой и чувствительной кожи";255368186;"ИП Сорокин Александр Игоревич";830586;"0";503;89;5;"0";2778;35;1801;1801;"4,8";"4,8";163;93;495
"https://basket-10.wbbasket.ru/vol1559/part155933/155933766/images/c246x328/1.webp";"Крем-лосьон с экстрактом нони, 150 мл";155933766;"Lifecosm";809698;"246429,83";642;0;0;"0";5695;76;1355;1355;"4,9";"4,67";224;558;0
"https://basket-16.wbbasket.ru/vol2552/part255203/255203333/images/c246x328/1.webp";"Набор уходовых средств для лица для защиты барьера";255203333;"Lifecosm";769937;"879928";733;0;0;"0";5339;74;1345;1345;"4,9";"4,13";443;91;0
"https://basket-12.wbbasket.ru/vol1908/part190810/190810743/images/c246x328/1.webp";"Celimax Набор миниатюр с нони The Real Noni Starter Kit";190810743;"ИП Абрамова О П";739635;"0";574;279;15;"0";1780;30;1246;1246;"4,9";"4,67";327;370;0
"https://basket-10.wbbasket.ru/vol1519/part151988/151988984/images/c246x328/1.webp";"Сыворотка для лица The Real Noni Energy Ampoule 30 мл";151988984;"ООО Сдэк Южный Урал";714234;"0";457;67;4;"0";8595;81;1564;1564;"4,8";"4,93";1123;615;0
"https://basket-12.wbbasket.ru/vol1908/part190808/190808723/images/c246x328/1.webp";"Крем Celimax с нони The Real Noni Energy Repair Cream 50 мл";190808723;"ИП Абрамова О П";647624;"0";441;56;4;"0";2050;30;1435;1435;"4,8";"4,73";563;370;0
"https://basket-10.wbbasket.ru/vol1559/part155923/155923673/images/c246x328/1.webp";"Восстанавливающий крем для лица с экстрактом нони, 50 мл";155923673;"Lifecosm";634391;"725018,29";361;0;0;"0";4392;60;1721;1721;"4,9";"4,53";2452;558;0
"https://basket-15.wbbasket.ru/vol2399/part239985/239985946/images/c246x328/1.webp";"Сыворотка для лица осветляющая, 30 мл";239985946;"Lifecosm";625824;"0";417;381;27;"0";4822;70;1417;1417;"4,8";"4,53";1860;158;520
"https://basket-15.wbbasket.ru/vol2235/part223586/223586129/images/c246x328/1.webp";"Тонер для лица Dual Barrier Creamy Toner 150 мл";223586129;"ООО Сдэк Южный Урал";619301;"0";381;186;15;"0";9870;83;1589;1589;"4,8";"4,53";1008;226;0
