"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-17.wbbasket.ru/vol2637/part263737/263737685/images/c246x328/1.webp";"Крем-Бустер с микроиглами и ретинолом Vita-A RetinAl Shot";263737685;"Lifecosm";13290220;"4228706,36";4996;0;0;"0";4580;42;2643;2590;"4,9";"3,73";2133;106;400
"https://basket-17.wbbasket.ru/vol2637/part263736/263736957/images/c246x328/1.webp";"Лифтинг-сыворотка для лица с микроиглами и ретинолом, 30 мл";263736957;"Lifecosm";8983077;"14699580,55";3511;760;2;"0";4727;41;2785;2729;"4,8";"4,33";2311;108;180
"https://basket-10.wbbasket.ru/vol1559/part155931/155931158/images/c246x328/1.webp";"Увлажняющий кремовый тонер с молочной текстурой, 150 мл";155931158;"Lifecosm";5927504;"0";2763;1805;19;"0";4661;53;2172;2128;"4,9";"3,87";1504;618;460
"https://basket-10.wbbasket.ru/vol1559/part155937/155937262/images/c246x328/1.webp";"Крем для восстановления барьера, 50ml";155937262;"Lifecosm";3762773;"0";1755;1178;19;"0";6569;66;2187;2143;"4,9";"4,07";2133;618;370
"https://basket-15.wbbasket.ru/vol2400/part240014/240014011/images/c246x328/1.webp";"Осветляющие тонер пэды для лица, 40 шт";240014011;"Lifecosm";3225555;"372179,42";1809;0;0;"0";3344;51;1633;1600;"4,9";"4,33";1504;151;325
"https://basket-10.wbbasket.ru/vol1559/part155949/155949395/images/c246x328/1.webp";"Сыворотка с экстрактом нони, 30 мл";155949395;"Lifecosm";2899576;"0";1618;2868;51;"12,45";5670;68;1804;1767;"4,8";"3,8";2310;618;800
"https://basket-16.wbbasket.ru/vol2552/part255203/255203333/images/c246x328/1.webp";"Набор уходовых средств для лица для защиты барьера";255203333;"Lifecosm";2732067;"0";2008;1265;18;"0";5491;75;1340;1313;"4,9";"3,93";896;151;230
"https://basket-17.wbbasket.ru/vol2675/part267592/267592529/images/c246x328/1.webp";"Осветляющий крем для выравнивания тона и микрорельефа, 35 мл";267592529;"Lifecosm";2579468;"0";1560;548;10;"0";4935;67;1606;1573;"4,9";"4,13";2133;106;198
"https://basket-10.wbbasket.ru/vol1559/part155923/155923673/images/c246x328/1.webp";"Восстанавливающий крем для лица с экстрактом нони, 50 мл";155923673;"Lifecosm";2234797;"0";1249;1457;34;"0";4288;57;1808;1771;"4,9";"4,4";2133;618;510
"https://basket-18.wbbasket.ru/vol3036/part303673/303673545/images/c246x328/1.webp";"ретинол селимакс с микроиглами";303673545;"ИП Бейсембаева";2167932;"975569,4";883;80;2;"0";4000;32;2707;2652;"4,9";"5";147;43;0
"https://basket-16.wbbasket.ru/vol2554/part255404/255404071/images/c246x328/1.webp";"Тонизирующие пилинг-пэды для лица";255404071;"Lifecosm";2086535;"0";1118;428;11;"0";5341;67;1739;1704;"4,9";"4,53";359;142;190
"https://basket-17.wbbasket.ru/vol2637/part263730/263730548/images/c246x328/1.webp";"Успокаивающие пэды с кислотами, 60 штук";263730548;"Lifecosm";2008937;"639207,23";1014;0;0;"0";5325;64;1891;1853;"4,9";"5";359;106;0
"https://basket-15.wbbasket.ru/vol2381/part238152/238152155/images/c246x328/1.webp";"Барьерный крем с комплексом церамидов";238152155;"MD Shop";1783721;"679512,76";1224;0;0;"0";2500;40;1494;1464;"4,9";"4,47";523;217;0
"https://basket-15.wbbasket.ru/vol2399/part239985/239985946/images/c246x328/1.webp";"Сыворотка для лица осветляющая, 30 мл";239985946;"Lifecosm";1621486;"0";919;839;26;"0";4658;63;1723;1688;"4,8";"4,53";2311;218;521
"https://basket-17.wbbasket.ru/vol2637/part263714/263714947/images/c246x328/1.webp";"Гель для умывания Dual Barrier Mild Gel Cleanser, 200 мл";263714947;"Lifecosm";1558633;"0";978;443;13;"0";4486;65;1527;1496;"4,8";"4,67";914;117;549
"https://basket-13.wbbasket.ru/vol2025/part202549/202549744/images/c246x328/1.webp";"Корейское гидрофильное масло для лица";202549744;"Lifecosm";1511932;"0";1472;2241;44;"0";7053;85;991;971;"4,7";"3,67";693;359;450
"https://basket-16.wbbasket.ru/vol2409/part240996/240996263/images/c246x328/1.webp";"Noni ampoule восстанавливающая сыворотка с нони";240996263;"ИП Женишбекова А Ж";1493777;"53349,18";1110;227;6;"0";2440;44;1354;1326;"4,9";"4,47";299;198;255
"https://basket-10.wbbasket.ru/vol1559/part155920/155920960/images/c246x328/1.webp";"Увлажняющий набор уходовых средств для лица";155920960;"Lifecosm";1479673;"0";898;1222;39;"0";3808;58;1578;1546;"4,9";"4,47";896;618;210
"https://basket-17.wbbasket.ru/vol2627/part262788/262788242/images/c246x328/1.webp";"Сыворотка для лица с ретинолом и микроиглами";262788242;"ТОО Компания ЛВВ";1431915;"2028546,25";650;0;0;"0";3200;35;2050;2009;"4,8";"4,07";182;131;0
"https://basket-14.wbbasket.ru/vol2181/part218134/218134259/images/c246x328/1.webp";"Барьерный кремовый тонер для сухой кожи";218134259;"ООО Амрус";1246498;"2769995,56";617;228;3;"0";4644;49;2340;2293;"4,8";"4,8";242;195;0
"https://basket-18.wbbasket.ru/vol2978/part297828/297828173/images/c246x328/1.webp";"Увлажняющий набор уходовых средств для лица новогодний";297828173;"Lifecosm";1232456;"0";794;197;7;"0";3823;60;1527;1496;"4,9";"4,87";896;48;350
"https://basket-17.wbbasket.ru/vol2660/part266040/266040951/images/c246x328/1.webp";"Бустер The Vita−A Retinol Shot Tightening booster 15 мл";266040951;"ИП Усукеева";1173397;"953385,06";502;22;1;"0";3550;17;2942;2883;"4,8";"3,93";131;118;0
"https://basket-10.wbbasket.ru/vol1559/part155939/155939082/images/c246x328/1.webp";"Увлажняющий тонер с эктрактом нони, 150 мл";155939082;"Lifecosm";1106916;"0";679;274;12;"0";4452;63;1647;1614;"4,9";"4,53";1504;618;0
"https://basket-17.wbbasket.ru/vol2654/part265415/265415753/images/c246x328/1.webp";"Омолаживающая сыворотка Vita-A Retinol Shot Tightening Serum";265415753;"ИП Мари";1100142;"1026799,2";467;345;11;"0";3590;31;2455;2405;"4,9";"4,73";165;120;0
"https://basket-18.wbbasket.ru/vol2926/part292659/292659309/images/c246x328/1.webp";"Успокаивающие пэды с кислотами, 10 штук";292659309;"Lifecosm";1080209;"80015,48";2375;129;1;"0";4400;89;455;445;"4,9";"4,59";359;37;0
"https://basket-10.wbbasket.ru/vol1559/part155947/155947140/images/c246x328/1.webp";"Балансирующая пенка для умывания, 150 мл";155947140;"Lifecosm";992648;"0";1216;1334;32;"0";2320;66;772;756;"4,8";"4,2";914;618;310
